t,Q,P,Bar,Eta
2025-06-06 01:01:54,0.05833475,126.8309,27.26802,0.7970501849175877
2025-06-06 01:16:53,0.05805051,126.7569,27.24804,0.8010725296601131
2025-06-06 01:31:54,0.058136310000000004,124.5321,27.18808,0.7875839317092951
2025-06-06 01:46:54,0.05812022,127.1944,27.34614,0.7999931090241011
2025-06-06 02:01:53,0.05877453,127.5228,27.26075,0.7956139924877751
2025-06-06 02:16:53,0.05849564,128.1709,27.28255,0.8028280070043656
2025-06-06 02:31:54,0.05799687,125.6933,27.28074,0.79413248811623
2025-06-06 02:46:54,0.056999339999999996,123.8755,27.31162,0.7954441087528928
2025-06-06 03:01:54,0.0577448,125.1559,27.30072,0.7936077179936674
2025-06-06 03:16:53,0.05770727,125.4464,27.28982,0.7962850090045979
2025-06-06 03:31:53,0.05713877,124.0066,27.3098,0.7943957842781669
2025-06-06 03:46:54,0.05727285,124.525,27.29709,0.7962197415450821
2025-06-06 04:01:54,0.057197769999999995,124.5865,27.29527,0.7977118273377126
2025-06-06 04:16:54,0.05679553,123.2355,27.32434,0.7938044545259173
2025-06-06 04:31:54,0.05739084,124.8247,27.30617,0.7962302946430478
2025-06-06 04:46:53,0.0574981,124.5412,27.30436,0.7929925153795173
2025-06-06 05:01:54,0.05717095,125.6538,27.25893,0.8059961201043354
2025-06-06 05:16:54,0.05666145,122.3104,27.27892,0.7910247417482237
2025-06-06 05:31:54,0.056715089999999996,122.6255,27.40064,0.7887929063017106
2025-06-06 05:46:54,0.057889609999999994,126.1252,27.32434,0.7970638286608939
2025-06-06 06:01:54,0.057444470000000004,124.5861,27.29345,0.7943364030862439
2025-06-06 06:16:53,0.0565971,121.1127,27.18081,0.786999850823636
2025-06-06 06:31:54,0.05683308,123.0141,27.31525,0.7921183216238885
2025-06-06 06:46:54,0.05743911,124.5121,27.29527,0.7938857356976879
2025-06-06 07:01:54,0.05666682,123.7177,27.31707,0.7989331059571634
2025-06-06 07:16:54,0.05682235,124.1156,27.30072,0.7997875086675319
2025-06-06 07:31:54,0.05727821,124.19,27.30254,0.7938449294318402
2025-06-06 07:46:54,0.0558409,121.5353,27.40609,0.7938610348427109
2025-06-06 08:01:53,0.05690279,123.5784,27.31162,0.7948827703019824
2025-06-06 08:16:53,0.056827710000000003,123.7564,27.32071,0.796814205503268
2025-06-06 08:31:54,0.056495199999999995,123.3368,27.32252,0.7987335205077593
2025-06-06 08:46:54,0.01347754,22.85057,28.92674,0.5859066858780062
2025-06-06 09:01:54,0.02877319,63.2843,28.78866,0.7637092556109404
2025-06-06 09:16:54,0.02921296,61.10346,28.71781,0.728082275339574
2025-06-06 09:31:54,0.02866056,61.48122,28.77776,0.7451476842573792
2025-06-06 09:46:54,0.02790436,58.18946,28.79956,0.7238156109669924
2025-06-06 10:01:54,0.027561119999999998,60.04964,28.76868,0.7570684505091265
2025-06-06 10:16:53,0.02720715,58.2336,28.81955,0.742411909765992
2025-06-06 10:31:54,0.02805453,60.29996,28.77776,0.7466182094936707
2025-06-06 10:46:54,0.06286659,137.2831,27.05727,0.8067792790496343
2025-06-06 11:01:54,0.05236559,114.0459,27.50238,0.791598449375632
2025-06-06 11:16:54,0.052376309999999995,114.3554,27.46605,0.7946339393296203
2025-06-06 11:31:53,0.051587940000000006,112.2133,27.49875,0.7907236585149018
2025-06-06 11:46:53,0.05260157,114.8019,27.4606,0.7944780161501414
2025-06-06 12:01:54,0.05125542,111.993,27.50238,0.7941862082719161
2025-06-06 12:16:53,0.05260157,114.659,27.46423,0.7933842103454996
2025-06-06 12:31:54,0.051486040000000004,112.4305,27.49148,0.7940321170100233
2025-06-06 12:46:53,0.013713520000000002,23.07083,28.46527,0.5908000246247695
2025-06-06 13:01:53,0.04021274,83.64143,27.79852,0.7479587484610527
2025-06-06 13:16:54,0.01272671,20.55728,28.37262,0.5691039489287711
2025-06-06 13:31:54,0.01269453,20.75557,28.3817,0.5758656457847037
2025-06-06 13:46:53,0.01271598,20.65503,28.39806,0.5717798665573776
2025-06-06 14:01:54,0.06546235,139.9294,27.01004,0.7911042001764306
2025-06-06 14:16:54,0.06635799,140.135,26.97733,0.7825209404607706
2025-06-06 14:31:53,0.06531218,140.0983,27.01912,0.7936134559988114
2025-06-06 14:46:54,0.06524245999999999,140.1422,27.01367,0.7948708127869609
2025-06-06 15:01:54,0.06531218,140.6787,27.02275,0.7967941933988258
2025-06-06 15:16:54,0.06525319,140.5164,27.01912,0.7967014441588539
2025-06-06 15:31:53,0.06392313,138.3334,27.08997,0.7985498503064647
2025-06-06 15:46:53,0.06330637,136.8342,27.08452,0.7977515192132475
2025-06-06 16:01:53,0.06537654000000001,140.3973,27.02275,0.794417527937556
2025-06-06 16:16:53,0.06518882999999999,140.6244,27.01549,0.7982081989756831
2025-06-06 16:31:53,0.06352089999999999,137.1957,27.10814,0.7964631272853739
