,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
17,2023-10-30 20:15:00,27.0781,69.9888,313.28350306000004,74.04899209253418,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,84.10151628615503,173.95433333333332,150,36.530409999999996,350.691936
18,2023-10-30 20:30:00,31.8027,79.8708,307.42713624,86.81218787738963,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,83.27465364129323,173.95433333333332,150,36.530409999999996,350.691936
19,2023-10-30 20:45:00,33.2659,84.36,307.19055656,90.91550353027881,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,84.15122166816592,173.95433333333332,150,36.530409999999996,350.691936
20,2023-10-30 21:00:00,33.2332,83.472,305.361143,90.28523726402017,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,83.8466814164476,173.95433333333332,150,36.530409999999996,350.691936
21,2023-10-30 21:15:00,33.3599,84.2424,307.05799036,91.13306006983227,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,83.83330354364153,173.95433333333332,150,36.530409999999996,350.691936
22,2023-10-30 21:30:00,31.5085,75.1872,302.97087244,84.7623747608044,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,80.28719743574138,173.95433333333332,150,36.530409999999996,350.691936
23,2023-10-30 21:45:00,0.642723,0.0,318.81661230000003,0.884185835554477,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
24,2023-10-30 22:00:00,19.0551,48.042,312.64922478,25.706760862075896,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.2022079935388,173.95433333333332,150,36.530409999999996,350.691936
25,2023-10-30 22:15:00,43.8719,108.151,290.60856442,113.97379751060397,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.47024306454097,173.95433333333332,150,36.530409999999996,350.691936
26,2023-10-30 22:30:00,47.1906,112.796,287.55444312,121.08553191452924,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,84.73232237315189,173.95433333333332,150,36.530409999999996,350.691936
27,2023-10-30 22:45:00,8.91092,0.0,319.56918042,12.287575593635081,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
28,2023-10-30 23:00:00,18.0946,44.5416,314.34607214,24.543460398632444,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,79.82515693246035,173.95433333333332,150,36.530409999999996,350.691936
29,2023-10-30 23:15:00,27.3192,66.612,309.74296578,73.86400763132335,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,80.24427101871116,173.95433333333332,150,36.530409999999996,350.691936
30,2023-10-30 23:30:00,14.6819,31.3428,316.05719586,20.02288778445955,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,68.85267848776009,173.95433333333332,150,36.530409999999996,350.691936
31,2023-10-30 23:45:00,14.3958,31.2024,315.7471949,19.61345369414419,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,69.97512569544246,173.95433333333332,150,36.530409999999996,350.691936
32,2023-10-31 00:00:00,21.9161,54.6024,313.28350306000004,29.626446841576296,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,81.06659371431839,173.95433333333332,150,36.530409999999996,350.691936
33,2023-10-31 00:15:00,27.3233,69.6804,313.97692625999997,74.88491161606427,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.79626456725194,173.95433333333332,150,36.530409999999996,350.691936
34,2023-10-31 00:30:00,37.21,96.858,309.81638706,103.01896616777519,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.64508301522561,173.95433333333332,150,36.530409999999996,350.691936
35,2023-10-31 00:45:00,43.8842,114.05,302.6027463,118.71106942627522,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,87.5477988443808,173.95433333333332,150,36.530409999999996,350.691936
36,2023-10-31 01:00:00,45.7193,114.542,298.82562934,122.00025420241874,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.46304047352528,173.95433333333332,150,36.530409999999996,350.691936
37,2023-10-31 01:15:00,42.3679,108.094,304.29959366,115.31156639357835,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.46617543487214,173.95433333333332,150,36.530409999999996,350.691936
38,2023-10-31 01:30:00,33.1351,84.4668,311.98537404,91.97151282814117,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,83.29031675823006,173.95433333333332,150,36.530409999999996,350.691936
39,2023-10-31 01:45:00,28.3205,73.1532,312.4432373,77.5762469480588,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,84.27374148324141,173.95433333333332,150,36.530409999999996,350.691936
40,2023-10-31 02:00:00,39.5519,102.824,307.19055656,108.67445076797789,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.2681083923366,173.95433333333332,150,36.530409999999996,350.691936
41,2023-10-31 02:15:00,45.1307,115.087,301.37803856,121.53222596142881,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.25287703118649,173.95433333333332,150,36.530409999999996,350.691936
42,2023-10-31 02:30:00,46.5122,120.954,306.51242946,127.21304396204283,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.48409707615295,173.95433333333332,150,36.530409999999996,350.691936
43,2023-10-31 02:45:00,43.8433,113.813,305.90772364,119.89576527731224,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.50260497387102,173.95433333333332,150,36.530409999999996,350.691936
44,2023-10-31 03:00:00,35.7427,91.566,311.43981314,99.39154914846125,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,83.85013173353886,173.95433333333332,150,36.530409999999996,350.691936
45,2023-10-31 03:15:00,27.4908,69.4152,312.66452088,75.0290450489234,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.3226970835437,173.95433333333332,150,36.530409999999996,350.691936
46,2023-10-31 03:30:00,28.8151,73.08,311.95580158,79.13118333687054,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.87362452902667,173.95433333333332,150,36.530409999999996,350.691936
47,2023-10-31 03:45:00,37.1487,95.4372,305.80371016,101.51717008914797,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.63717083417639,173.95433333333332,150,36.530409999999996,350.691936
48,2023-10-31 04:00:00,40.1976,102.311,302.89745116,108.90504160241427,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.65595846010739,173.95433333333332,150,36.530409999999996,350.691936
49,2023-10-31 04:15:00,39.2576,98.826,304.16600772,106.79128924797035,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,84.36606379261072,173.95433333333332,150,36.530409999999996,350.691936
50,2023-10-31 04:30:00,31.2878,78.2112,310.95237742,86.1584596864959,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,81.94661779764115,173.95433333333332,150,36.530409999999996,350.691936
51,2023-10-31 04:45:00,29.4118,77.8764,313.07751558,81.06025120806078,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.21113778904413,173.95433333333332,150,36.530409999999996,350.691936
52,2023-10-31 05:00:00,48.0653,122.483,300.62547044,128.81955680491023,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.4070895533352,173.95433333333332,150,36.530409999999996,350.691936
53,2023-10-31 05:15:00,48.2288,121.735,299.60776992,128.82017898332785,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.8789892720811,173.95433333333332,150,36.530409999999996,350.691936
54,2023-10-31 05:30:00,47.8078,118.201,294.19295052,125.38783129457714,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.66849206117851,173.95433333333332,150,36.530409999999996,350.691936
55,2023-10-31 05:45:00,47.91,120.706,298.1617786,127.35104450218017,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.13540691007996,173.95433333333332,150,36.530409999999996,350.691936
56,2023-10-31 06:00:00,42.8583,108.516,304.28429756,116.61844796574184,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,84.82234750446386,173.95433333333332,150,36.530409999999996,350.691936
57,2023-10-31 06:15:00,27.311,67.866,314.31649968,74.93215436350164,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,80.58950045423168,173.95433333333332,150,36.530409999999996,350.691936
58,2023-10-31 06:30:00,27.6543,72.6456,312.81136344,75.84062626448147,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.60420860055673,173.95433333333332,150,36.530409999999996,350.691936
59,2023-10-31 06:45:00,41.0314,108.3,314.640777,115.47647782914554,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.51220553451591,173.95433333333332,150,36.530409999999996,350.691936
60,2023-10-31 07:00:00,46.9904,120.322,304.03344152,127.48150142244654,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,85.85103540611058,173.95433333333332,150,36.530409999999996,350.691936
61,2023-10-31 07:15:00,44.3869,114.749,306.27584978,121.52838731574826,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,86.0423639555463,173.95433333333332,150,36.530409999999996,350.691936
62,2023-10-31 07:30:00,30.2047,75.2376,312.61965232,83.400830556279,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,81.22227016350135,173.95433333333332,150,36.530409999999996,350.691936
63,2023-10-31 07:45:00,16.2309,36.456,315.36377266,22.086819067463257,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,72.6015016964687,173.95433333333332,150,36.530409999999996,350.691936
64,2023-10-31 08:00:00,25.48,64.2384,311.43981314,34.241463854237516,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.51865756723828,173.95433333333332,150,36.530409999999996,350.691936
65,2023-10-31 08:15:00,33.6542,84.4128,303.13403084000004,90.87752697744851,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,84.34616342710292,173.95433333333332,150,36.530409999999996,350.691936
66,2023-10-31 08:30:00,27.1308,67.9678,308.81092342,73.13389289276556,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.69494286724634,173.95433333333332,150,36.530409999999996,350.691936
67,2023-10-31 08:45:00,29.4251,72.2316,305.6619663,79.17604651115641,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,81.86511525982391,173.95433333333332,150,36.530409999999996,350.691936
68,2023-10-31 09:00:00,19.8589,45.7908,313.60472116,26.87302462832367,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,74.94996642037609,173.95433333333332,150,36.530409999999996,350.691936
69,2023-10-31 09:15:00,21.8834,54.0372,312.295375,29.488937184859612,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,80.60156582517534,173.95433333333332,150,36.530409999999996,350.691936
70,2023-10-31 09:30:00,30.1025,74.4336,306.0545662,81.37312632317017,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.35663403822083,173.95433333333332,150,36.530409999999996,350.691936
71,2023-10-31 09:45:00,26.5672,64.1964,309.19740488,71.70427728002488,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,79.66362079849108,173.95433333333332,150,36.530409999999996,350.691936
72,2023-10-31 10:00:00,15.1519,33.3624,315.201634,20.60792782647429,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,71.20864503856762,173.95433333333332,150,36.530409999999996,350.691936
73,2023-10-31 10:15:00,0.7037,0.0,327.51907346,0.9944957164227956,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
74,2023-10-31 10:30:00,0.6462,0.0,327.35489531999997,0.9127767358561973,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
75,2023-10-31 10:45:00,0.6189,0.0,329.69111965999997,0.880453656110869,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
76,2023-10-31 11:00:00,0.6232,0.0,330.16427902,0.8878432520536196,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
77,2023-10-31 11:15:00,0.6149,0.0,330.68230694,0.8773931124653881,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
78,2023-10-31 11:30:00,0.608,0.0,329.7941134,0.8652174062229873,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
79,2023-10-31 11:45:00,0.7306,0.0,329.86141624,1.0398961162477165,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,0.0,173.95433333333332,150,36.530409999999996,350.691936
80,2023-10-31 12:00:00,22.3488,56.9064,314.72949438,30.350819516329082,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.4708464065805,173.95433333333332,150,36.530409999999996,350.691936
81,2023-10-31 12:15:00,29.8448,74.4743,307.62292632,81.0899337008755,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.68943994457321,173.95433333333332,150,36.530409999999996,350.691936
82,2023-10-31 12:30:00,30.3809,75.7128,306.22792200000004,82.17221538773097,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,82.9573513630061,173.95433333333332,150,36.530409999999996,350.691936
83,2023-10-31 12:45:00,30.4788,76.7231,306.839766,82.60171803268744,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,83.62721382840772,173.95433333333332,150,36.530409999999996,350.691936
84,2023-10-31 13:00:00,24.6414,59.0792,311.2858324,33.09813345334938,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,78.51287212345007,173.95433333333332,150,36.530409999999996,350.691936
85,2023-10-31 13:15:00,14.9141,32.2889,315.19959452,20.28436748714362,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,70.01668449229669,173.95433333333332,150,36.530409999999996,350.691936
86,2023-10-31 13:30:00,18.6536,44.9483,315.1557457,25.366856848252265,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,77.93927730499352,173.95433333333332,150,36.530409999999996,350.691936
87,2023-10-31 13:45:00,33.596,85.9708,307.94108520000003,92.15899772349887,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,84.70845334015887,173.95433333333332,150,36.530409999999996,350.691936
88,2023-10-31 14:00:00,34.2099,84.4704,301.5167232,91.88523783378375,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,83.47805737305848,173.95433333333332,150,36.530409999999996,350.691936
89,2023-10-31 14:15:00,31.5729,78.4036,303.02695814000003,84.95134318513749,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,83.53553465333486,173.95433333333332,150,36.530409999999996,350.691936
90,2023-10-31 14:30:00,27.3358,66.869,308.02572362,73.49913234680848,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,80.95376399331064,173.95433333333332,150,36.530409999999996,350.691936
91,2023-10-31 14:45:00,15.059,32.7759,315.23018672,20.483430922365724,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,70.38201333125158,173.95433333333332,150,36.530409999999996,350.691936
92,2023-10-31 15:00:00,14.9271,32.5634,315.1914366,20.301523072982484,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,70.552252627994,173.95433333333332,150,36.530409999999996,350.691936
93,2023-10-31 15:15:00,14.8937,32.5798,315.31584488,20.264092804763116,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,70.71816937301767,173.95433333333332,150,36.530409999999996,350.691936
94,2023-10-31 15:30:00,14.9086,32.6415,315.5381482,20.298666310312232,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,70.7314181132585,173.95433333333332,150,36.530409999999996,350.691936
95,2023-10-31 15:45:00,14.8942,32.6076,315.48002302000003,18.467156039059613,23.75,2023-10-30 15:54:46.911790,2023-10-31 15:45:00,70.73930397346054,173.95433333333332,150,36.530409999999996,350.691936
